Textos_espanol,sdg,words
"Dos encuestados señalaron que no existe un organismo dentro del Ministerio de Sanidad responsable de promover la introducción de la asistencia sanitaria personalizada, y dos sugirieron que la investigación y el desarrollo se ven obstaculizados por la normativa de protección de datos personales y los procedimientos éticos. Curiosamente, uno de los encuestados comentó que ""la satisfacción de los consumidores con [el] sistema sanitario actual significa que hay poca demanda de cambio por parte de los pacientes o de los profesionales sanitarios"". Los encuestados también consideraron importantes las redes y la colaboración internacionales, en particular a través de la Unión Europea.",3,dos encuestados senalaron existe organismo dentro ministerio sanidad responsable promover introduccion asistencia sanitaria personalizada dos sugirieron investigacion desarrollo ven obstaculizados normativa proteccion datos personales procedimientos eticos curiosamente encuestados comento satisfaccion consumidores sistema sanitario actual significa poca demanda cambio parte pacientes profesionales sanitarios encuestados tambien consideraron importantes redes colaboracion internacionales particular traves union europea
"Esto proporciona tiempo adicional para que los médicos dediquen a esos pacientes médicamente complejos con múltiples condiciones crónicas. Algunos países de la OCDE han adoptado la expansión de la fuerza laboral para incluir a este personal. Los médicos, enfermeras y otros profesionales de la salud deben ingresar a un entorno que promueva las habilidades que aprenden en la capacitación clínica. Actualizar el currículo educativo no será muy efectivo a menos que: 1) la infraestructura de investigación cree la base de evidencia para guiar la educación y la atención al paciente, 2) los sistemas de pago y entrega les ayuden a administrar los tipos de atención para los que están capacitados para brindar, y 3) las métricas de calidad miden lo que están siendo capacitados para proporcionar.",3,proporciona tiempo adicional medicos dediquen pacientes medicamente complejos multiples condiciones cronicas paises ocde adoptado expansion fuerza laboral incluir personal medicos enfermeras profesionales salud deben ingresar entorno promueva habilidades aprenden capacitacion clinica actualizar curriculo educativo sera efectivo menos one infraestructura investigacion cree base evidencia guiar educacion atencion paciente two sistemas pago entrega ayuden administrar tipos atencion estan capacitados brindar three metricas calidad miden estan siendo capacitados proporcionar
"El número absoluto de médicos ha seguido creciendo en la mayoría de los países de la OCDE durante la recesión de 2008-09 y posteriormente, aunque la tasa de crecimiento se ha desacelerado en países como Grecia. Este resultado puede explicarse, en parte, por la política de reducción del número de personal temporal y personal de reemplazo, aunque cabe señalar que Grecia sigue teniendo el mayor número de médicos per cápita entre los países de la OCDE. En Irlanda, se han introducido una serie de cambios que afectan a la fuerza laboral médica, incluida la no sustitución del personal con licencia, la finalización de los contratos temporales y los despidos voluntarios, así como la reducción del personal de agencia y suplente.",3,numero absoluto medicos seguido creciendo mayoria paises ocde recesion 200809 posteriormente aunque tasa crecimiento desacelerado paises grecia resultado puede explicarse parte politica reduccion numero personal temporal personal reemplazo aunque cabe senalar grecia sigue mayor numero medicos per capita paises ocde irlanda introducido serie cambios afectan fuerza laboral medica incluida sustitucion personal licencia finalizacion contratos temporales despidos voluntarios asi reduccion personal agencia suplente
"El desarrollo de una política de recertificación (que incluiría INFARMED, la autoridad nacional de medicamentos y productos sanitarios, garantiza la seguridad y el uso apropiado de los productos farmacéuticos en Portugal. Suecia no tiene un sistema de acreditación para las organizaciones sanitarias. Para algunas profesiones, la el diploma debe complementarse con un certificado de finalización de una pasantía/experiencia práctica específica No existen sistemas nacionales formales de CME y CPD o para la recertificación.",3,desarrollo politica recertificacion incluiria infarmed autoridad nacional medicamentos productos sanitarios garantiza seguridad uso apropiado productos farmaceuticos portugal suecia sistema acreditacion organizaciones sanitarias profesiones diploma debe complementarse certificado finalizacion pasantiaexperiencia practica especifica existen sistemas nacionales formales cme cpd recertificacion
"Patient Opinion, un portal en línea, permite a la gente publicar de forma anónima sus experiencias sobre los servicios del NHS. Las personas que deseen dar su opinión sobre un servicio pueden dejar un comentario y esperar una respuesta de un miembro del personal del NHS, a menudo de la institución en cuestión. En un ejemplo reciente, un paciente escribió en el foro en línea sobre una experiencia negativa con un servicio de reumatología.",3,patient opinion portal linea permite gente publicar forma anonima experiencias servicios nhs personas deseen dar opinion servicio pueden dejar comentario esperar respuesta miembro personal nhs menudo institucion cuestion ejemplo reciente paciente escribio foro linea experiencia negativa servicio reumatologia
"Estas estaciones cuentan con asistentes médicos y parteras y reportan a los hospitales locales. Estos últimos están equipados con unidades de laboratorio clínico y radiología y cuentan con uno o más médicos, un cirujano y un ginecólogo. Cuanto más cerca de los centros administrativos, más especializado es el nivel de las instalaciones y el personal. El sistema incluye dispensarios médicos especializados para ciertas enfermedades, como tuberculosis, cáncer, infecciones de transmisión sexual, trastornos psiquiátricos y enfermedades de la piel.",3,estaciones cuentan asistentes medicos parteras reportan hospitales locales ultimos estan equipados unidades laboratorio clinico radiologia cuentan mas medicos cirujano ginecologo cuanto mas cerca centros administrativos mas especializado nivel instalaciones personal sistema incluye dispensarios medicos especializados ciertas enfermedades tuberculosis cancer infecciones transmision sexual trastornos psiquiatricos enfermedades piel
"En Ohio, las admisiones a tratamiento por esta droga aumentaron un 34% de 2009 a 2012. En el condado de San Diego, las muertes relacionadas con la metanfetamina aumentaron un 70% de 2008 a 2012. América del Sur cuenta con una capacidad institucional relativamente sólida en el contexto más amplio de América Latina y el Caribe, y los países de la región han venido realizando esfuerzos considerables a escala nacional e internacional para frenar la oferta ilícita de drogas y hacer frente a las crecientes tasas de drogodependencia.",3,ohio admisiones tratamiento droga aumentaron thirtyfour two thousand and nine two thousand and twelve condado san diego muertes relacionadas metanfetamina aumentaron seventy two thousand and eight two thousand and twelve america sur cuenta capacidad institucional relativamente solida contexto mas amplio america latina caribe paises region venido realizando esfuerzos considerables escala nacional internacional frenar oferta ilicita drogas hacer frente crecientes tasas drogodependencia
"Los profesionales de la salud y los responsables políticos también se benefician de ello, como muestra la figura siguiente. Otra prioridad declarada es el intercambio eficaz de información y la cooperación entre todos los compradores y profesionales. Se pretende que la información siga al ciudadano a través de los sectores sanitario y de asistencia social.",3,profesionales salud responsables politicos tambien benefician ello muestra figura siguiente prioridad declarada intercambio eficaz informacion cooperacion compradores profesionales pretende informacion siga ciudadano traves sectores sanitario asistencia social
"Por el contrario, las enfermedades infecciosas plantean amenazas potencialmente globales, por lo que los beneficios de la genómica para el control de las enfermedades infecciosas pueden percibirse tanto a escala mundial como local. Entretanto, los países más ricos parecen más inclinados a invertir en líneas de investigación y desarrollo genómico que les orientan principalmente hacia asuntos internos, y que ofrecen menos incentivos para colaborar internacionalmente en la investigación y la aplicación. Por otra parte, los resultados sólo representan una instantánea de un campo en rápido desarrollo, a fecha de verano de 2012.",3,contrario enfermedades infecciosas plantean amenazas potencialmente globales beneficios genomica control enfermedades infecciosas pueden percibirse escala mundial local entretanto paises mas ricos parecen mas inclinados invertir lineas investigacion desarrollo genomico orientan principalmente hacia asuntos internos ofrecen menos incentivos colaborar internacionalmente investigacion aplicacion parte resultados solo representan instantanea campo rapido desarrollo fecha verano two thousand and twelve
"En Noruega, una revisión de los servicios comunitarios de salud mental reveló que, en general, los médicos de familia son considerados como socios competentes, implicados y accesibles por los trabajadores comunitarios de salud mental (Slettebak et al., Esta es una buena base sobre la que Noruega debería construir. Sin embargo, dado que es probable que los médicos de cabecera sigan estando a la vanguardia del diagnóstico y el tratamiento de los trastornos leves a moderados, existe una necesidad continua de garantizar una atención de alta calidad para los trastornos mentales. La disponibilidad de formación en TCC y los reembolsos a los médicos de cabecera que imparten TCC constituyen un avance interesante. ",3,noruega revision servicios comunitarios salud mental revelo general medicos familia considerados socios competentes implicados accesibles trabajadores comunitarios salud mental slettebak et buena base noruega deberia construir embargo dado probable medicos cabecera sigan vanguardia diagnostico tratamiento trastornos leves moderados existe necesidad continua garantizar atencion alta calidad trastornos mentales disponibilidad formacion tcc reembolsos medicos cabecera imparten tcc constituyen avance interesante
"La consolidación prevista en el sector municipal ofrecerá oportunidades para una mejor coordinación entre los municipios más grandes y el Seguro Nacional de Salud. Es preocupante que el aumento de los insumos no se refleje en un aumento del volumen de servicios sanitarios producidos. Sin embargo, se han observado tendencias similares en otros países y, en cierta medida, pueden reflejar dificultades a la hora de medir los insumos y los productos y de ajustar las mejoras de la calidad de la asistencia sanitaria (Hardie et al., ",3,consolidacion prevista sector municipal ofrecera oportunidades mejor coordinacion municipios mas grandes seguro nacional salud preocupante aumento insumos refleje aumento volumen servicios sanitarios producidos embargo observado tendencias similares paises cierta medida pueden reflejar dificultades hora medir insumos productos ajustar mejoras calidad asistencia sanitaria hardie et
"Hay datos que indican que la ubicación conjunta en centros sanitarios multidisciplinares facilita la colaboración y la integración, y garantiza un uso más eficiente de los recursos y las competencias (Reed et al., Los equipos multidisciplinares de las consultas, con infraestructuras clínicas, informáticas y otras infraestructuras de apoyo, son capaces de ofrecer una gama más amplia de servicios para satisfacer las necesidades de atención crónica de forma coordinada (Goodwin et al., Varios estudios nacionales sobre la influencia del tamaño de la consulta en los procesos asistenciales y los resultados muestran que las consultas más grandes obtienen mejores resultados en cuanto a la gama y la calidad de los servicios y la gestión de la seguridad (Wensing et al.,",3,datos indican ubicacion conjunta centros sanitarios multidisciplinares facilita colaboracion integracion garantiza uso mas eficiente recursos competencias reed et equipos multidisciplinares consultas infraestructuras clinicas informaticas infraestructuras apoyo capaces ofrecer gama mas amplia servicios satisfacer necesidades atencion cronica forma coordinada goodwin et varios estudios nacionales influencia tamano consulta procesos asistenciales resultados muestran consultas mas grandes obtienen mejores resultados cuanto gama calidad servicios gestion seguridad wensing et
"Hoy en día, prácticamente todos los hospitales de atención secundaria y la mayoría de los servicios de atención de día de los hospitales se financian en su totalidad con los GRD. La expectativa es que esto estimule la productividad hospitalaria, ya que al aumentar el número de episodios de atención se reparten los costos fijos entre un mayor número de pacientes y se fomenta el desarrollo de procedimientos de estancia diurna en lugar de las admisiones de pacientes hospitalizados. Esto tiene por objeto apoyar la atención terciaria altamente especializada, independientemente de la propiedad del proveedor, pero también puede estar distorsionando la distribución de los recursos.",3,hoy dia practicamente hospitales atencion secundaria mayoria servicios atencion dia hospitales financian totalidad grd expectativa estimule productividad hospitalaria aumentar numero episodios atencion reparten costos fijos mayor numero pacientes fomenta desarrollo procedimientos estancia diurna lugar admisiones pacientes hospitalizados objeto apoyar atencion terciaria altamente especializada independientemente propiedad proveedor tambien puede distorsionando distribucion recursos
Los resultados de los modelos de costos de atención de la salud se utilizan para pronosticar los gastos de salud futuros en función de las características y el estado de salud de la futura población anciana proyectada de los otros dos componentes del modelo FEM. Los gastos per cápita también se calculan para cada una de estas cuatro categorías de pago. Todos los gastos proyectados son en términos reales que corresponden a dólares de 1998.,3,resultados modelos costos atencion salud utilizan pronosticar gastos salud futuros funcion caracteristicas salud futura poblacion anciana proyectada dos componentes modelo fem gastos per capita tambien calculan cada cuatro categorias pago gastos proyectados terminos reales corresponden dolares one thousand nine hundred and ninetyeight
"El papel de los seguros sanitarios privados es insignificante. La atención primaria se financia en gran parte mediante capitación, con ajustes por edad y ubicación rural, más una parte menor de pago por servicio y pagos relacionados con el rendimiento para áreas de atención prioritarias específicas, en particular las enfermedades crónicas. La atención ambulatoria se financia mediante el pago por caso y el pago por servicio para pruebas diagnósticas, mientras que la atención hospitalaria se financia en gran medida mediante el pago por caso (DRG).",3,papel seguros sanitarios privados insignificante atencion primaria financia gran parte mediante capitacion ajustes edad ubicacion rural mas parte menor pago servicio pagos relacionados rendimiento areas atencion prioritarias especificas particular enfermedades cronicas atencion ambulatoria financia mediante pago caso pago servicio pruebas diagnosticas mientras atencion hospitalaria financia gran medida mediante pago caso drg
"El sesgo hacia la medicina y la intervención occidentales puede resultar ofensivo o inapropiado para los practicantes de la medicina tradicional. Es difícil encontrar personal sanitario que hable y entienda las lenguas indígenas, y la mala comunicación entre proveedores y clientes a todos los niveles compromete el acceso a una atención de calidad. Así pues, como los sistemas sanitarios estatales no incorporan el concepto indígena de salud ni trabajan en armonía con los sistemas sanitarios tradicionales, las comunidades indígenas quedan marginadas y persisten las disparidades sanitarias entre las poblaciones indígenas y no indígenas. Sin embargo, hay pocos esfuerzos que aborden el VIH/SIDA entre los pueblos indígenas. Sin embargo, los tratamientos tradicionales contra el VIH están muy extendidos en las comunidades indígenas y, si se reconocen y apoyan, son prácticas prometedoras para combatir la enfermedad entre todas las poblaciones.",3,sesgo hacia medicina intervencion occidentales puede resultar ofensivo inapropiado practicantes medicina tradicional dificil encontrar personal sanitario hable entienda lenguas indigenas mala comunicacion proveedores clientes niveles compromete acceso atencion calidad asi pues sistemas sanitarios estatales incorporan concepto indigena salud trabajan armonia sistemas sanitarios tradicionales comunidades indigenas quedan marginadas persisten disparidades sanitarias poblaciones indigenas indigenas embargo pocos esfuerzos aborden vihsida pueblos indigenas embargo tratamientos tradicionales vih estan extendidos comunidades indigenas si reconocen apoyan practicas prometedoras combatir enfermedad todas poblaciones
"También promueve mejoras en la prevención, el diagnóstico, el tratamiento y la rehabilitación de enfermedades específicas. La construcción y renovación representan alrededor del 30% del presupuesto total. Al mismo tiempo, los gobiernos regionales deben desarrollar programas regionales dirigidos a alcanzar los objetivos del ""concepto demográfico"" (plan de acción) antes mencionado y deben transmitir información sobre fertilidad, morbilidad, etc. También cofinancian con cargo a los presupuestos regionales una serie de programas federales específicos. Inicialmente, este programa cubría a 15,9 millones de empleados del sector público y a 10,9 millones de personas que trabajan en empleos con condiciones laborales nocivas o peligrosas (Sheiman y Shishkin, 2010).",3,tambien promueve mejoras prevencion diagnostico tratamiento rehabilitacion enfermedades especificas construccion renovacion representan alrededor thirty presupuesto total mismo tiempo gobiernos regionales deben desarrollar programas regionales dirigidos alcanzar objetivos concepto demografico plan accion mencionado deben transmitir informacion fertilidad morbilidad etc tambien cofinancian cargo presupuestos regionales serie programas federales especificos inicialmente programa cubria 159 millones empleados sector publico 109 millones personas trabajan empleos condiciones laborales nocivas peligrosas sheiman shishkin two thousand and ten
"Bélgica implementó servicios integrales para dejar de fumar y también se implementaron políticas libres de humo (OMS, 2015). Como en muchos otros países, se lanzaron campañas en los medios de comunicación para promover el objetivo de '5 al día' para el consumo de frutas y verduras. Bélgica impuso un impuesto sobre las bebidas azucaradas en 2016, como es el caso de Francia y Finlandia, pero abandonó el impuesto sobre el azúcar en los productos alimenticios.",3,belgica implemento servicios integrales dejar fumar tambien implementaron politicas libres humo oms two thousand and fifteen paises lanzaron campanas medios comunicacion promover objetivo five dia consumo frutas verduras belgica impuso impuesto bebidas azucaradas two thousand and sixteen caso francia finlandia abandono impuesto azucar productos alimenticios
"El consumo de tabaco, que es en parte responsable de la tasa de mortalidad por cáncer de pulmón más alta del mundo entre los hombres húngaros, ha disminuido notablemente desde mediados de la década de 1990, pero se mantiene en un nivel alto, superando el promedio de la OCDE. Recientemente, el gobierno ha tomado medidas para reducir el consumo de tabaco y alcohol aumentando los impuestos especiales en noviembre de 2011 e introduciendo una prohibición de fumar en lugares públicos, a partir del 1 de enero de 2012. Alrededor de dos tercios de los hombres húngaros y la mitad de las mujeres tienen sobrepeso o son obesos. (Figura 4.2). La hipertensión arterial afecta a cerca del 30% de las personas de 25 a 64 años y la diabetes tipo dos afecta aproximadamente al 10% de la población (HCSO, 2009).",3,consumo tabaco parte responsable tasa mortalidad cancer pulmon mas alta mundo hombres hungaros disminuido notablemente mediados decada one thousand nine hundred and ninety mantiene nivel alto superando promedio ocde recientemente gobierno tomado medidas reducir consumo tabaco alcohol aumentando impuestos especiales noviembre two thousand and eleven introduciendo prohibicion fumar lugares publicos partir one enero two thousand and twelve alrededor dos tercios hombres hungaros mitad mujeres sobrepeso obesos figura 42 hipertension arterial afecta cerca thirty personas twentyfive sixtyfour anos diabetes tipo dos afecta aproximadamente ten poblacion hcso two thousand and nine
"A partir de 2012, algunos servicios hospitalarios están sujetos a un descuento directo del 80 %, lo que desalienta fuertemente la provisión más allá de los límites de gasto. En principio, este proceso de negociación agrega un elemento útil basado en el mercado al sistema de atención de la salud. Sin embargo, esto se ve algo comprometido por el número limitado de ""actores del mercado"" en ambos lados, especialmente porque la integración vertical de Clalit significa que realmente no participa en este proceso.",3,partir two thousand and twelve servicios hospitalarios estan sujetos descuento directo eighty desalienta fuertemente provision mas alla limites gasto principio proceso negociacion agrega elemento util basado mercado sistema atencion salud embargo ve comprometido numero limitado actores mercado ambos lados especialmente integracion vertical clalit significa realmente participa proceso
